image,caption_number,caption,id
3354489242_dd529ffa1f.jpg,1,A hockey goalie stops the puck .,1
3354489242_dd529ffa1f.jpg,2,People playing hockey .,1
3354489242_dd529ffa1f.jpg,4,Two hockey teams compete .,1
3354489242_dd529ffa1f.jpg,3,Several hockey players move toward the puck next to a goal .,1
3354489242_dd529ffa1f.jpg,0,A goalie tries to block the puck in a hockey game .,1
2071309418_1d7580b0f0.jpg,1,A white dog wearing reindeer ears is next to a brown dog .,2
2071309418_1d7580b0f0.jpg,0,A white dog wearing a christmas reindeer headband plays with a brown dog in the grass among some stuffed animals .,2
2071309418_1d7580b0f0.jpg,3,The white dog next to the brown dog is wearing a christmas headband .,2
2071309418_1d7580b0f0.jpg,4,"Two dogs , one wearing christmas antlers , tussle on the grass .",2
2071309418_1d7580b0f0.jpg,2,A white dog with fake antlers on its head and a brown dog play together outdoors .,2
1247181182_35cabd76f3.jpg,0,a man sits on a rock .,3
1247181182_35cabd76f3.jpg,1,A man sitting on a cliff in the mountains .,3
1247181182_35cabd76f3.jpg,4,The man is sitting at the top of a rocky mountain .,3
1247181182_35cabd76f3.jpg,2,A man wearing a blue shirt crouches on a rocky cliff .,3
1247181182_35cabd76f3.jpg,3,A person posing on a mountaintop .,3
3523950181_414978964e.jpg,1,A group of hockey players around a goal .,4
3523950181_414978964e.jpg,4,Three hockey players are engaged in a game .,4
3523950181_414978964e.jpg,2,Men play hockey .,4
3523950181_414978964e.jpg,0,A goalie is covering his net while two other hockey players chase after the hockey puck .,4
3523950181_414978964e.jpg,3,The hockey players move quickly towards the puck .,4
2554570943_122da6438f.jpg,3,a girl climbs up a red slide .,5
2554570943_122da6438f.jpg,4,Child climbs the inside of a red slide .,5
2554570943_122da6438f.jpg,0,A child climbs up the inside of a red tube in a play structure .,5
2554570943_122da6438f.jpg,2,A girl climbs through a red plastic tunnel on a playground .,5
2554570943_122da6438f.jpg,1,A child in a yellow shirt and blue jeans climbs through a red playground tunnel .,5
2472250097_a3191a94b3.jpg,1,A person stands on a hill surrounded by blue skies and clouds .,6
2472250097_a3191a94b3.jpg,3,A person with a fishing pole silhouetted in front of a blue sky .,6
2472250097_a3191a94b3.jpg,4,A silhouette of a man with a fishing pole .,6
2472250097_a3191a94b3.jpg,2,A person with a fishing pole is backlit against a blue cloudy sky .,6
2472250097_a3191a94b3.jpg,0,A man carrying a fishing pole silhouetted against a bright blue sky .,6
2419591925_1038c6c570.jpg,2,A little boy climbing over a chain fence .,7
2419591925_1038c6c570.jpg,0,A boy in a brown jacket is standing on chains between two wooden posts .,7
2419591925_1038c6c570.jpg,4,Boy climbing on a chain fence .,7
2419591925_1038c6c570.jpg,1,A child standing on a heavy chain fence at a dock .,7
2419591925_1038c6c570.jpg,3,A little boy standing and playing on a chained fence .,7
2180480870_dcaf5ac0df.jpg,4,"The large , brownish dog is running through a grassy area .",8
2180480870_dcaf5ac0df.jpg,2,a little brown dog running through a field of grass,8
2180480870_dcaf5ac0df.jpg,1,A dog runs through the grass .,8
2180480870_dcaf5ac0df.jpg,0,A brown dog is about to jump .,8
2180480870_dcaf5ac0df.jpg,3,Tan dog running through long grass in a park-like setting .,8
3517023411_a8fbd15230.jpg,2,A man on a red bicycle rides past several pedestrians .,9
3517023411_a8fbd15230.jpg,4,Man rides on bicycle as other people walk .,9
3517023411_a8fbd15230.jpg,1,a biker rides down the street .,9
3517023411_a8fbd15230.jpg,0,A biker is racing to keep up with the runners,9
3517023411_a8fbd15230.jpg,3,A man with something orange on his helmet riding a bike in a busy setting .,9
2029280005_a19609c81a.jpg,1,A man is inline skating in front of a wooden bench .,10
2029280005_a19609c81a.jpg,3,A man on Rollerblades travelling down the sidewalk .,10
2029280005_a19609c81a.jpg,4,A man wearing a black shirt and brown pants skates on a concrete surface near a park bench .,10
2029280005_a19609c81a.jpg,0,a man in a black shirt is rollerblading past a bench in the city .,10
2029280005_a19609c81a.jpg,2,A man is wearing Rollerblades standing on a paved area near a park bench .,10
3421789737_f625dd17ed.jpg,4,The boy is standing on the playground equipment in the blue triangle .,11
3421789737_f625dd17ed.jpg,2,A young boy rides a blue and yellow merry-go-round with an adult male hand in the foreground .,11
3421789737_f625dd17ed.jpg,1,a child on a spinning wheel holding on for dear life,11
3421789737_f625dd17ed.jpg,3,A young kid is standing up on the merry go round .,11
3421789737_f625dd17ed.jpg,0,A boy spinning on a blue and yellow merry-go-round .,11
3523471597_87e0bf3b21.jpg,4,Two people read a sign in front of a museum .,12
3523471597_87e0bf3b21.jpg,0,A couple are looking at an area map .,12
3523471597_87e0bf3b21.jpg,1,"A man and woman are standing in front of an art gallery , looking at a map .",12
3523471597_87e0bf3b21.jpg,2,Tourists examine a sign .,12
3523471597_87e0bf3b21.jpg,3,Two people are reading a sign in front of a museum .,12
444057017_f1e0fcaef7.jpg,2,A little girl on a piece of playground equipment,13
444057017_f1e0fcaef7.jpg,0,A little girl gets her picture taken while on the merry-go-round .,13
444057017_f1e0fcaef7.jpg,4,A young girl looks up as she rides on a merry-go-round .,13
444057017_f1e0fcaef7.jpg,1,A little girl in pink clothes holding yellow rods .,13
444057017_f1e0fcaef7.jpg,3,A little girl sitting on a playground ride .,13
3202360797_2084743e90.jpg,1,a golden dog is running along a tire track that has been carved out in the snow .,14
3202360797_2084743e90.jpg,3,Golden retriever puppy walking through snow .,14
3202360797_2084743e90.jpg,2,A young dog walking through the snow in a tire track .,14
3202360797_2084743e90.jpg,4,The dog is walking in the snow .,14
3202360797_2084743e90.jpg,0,A dog is walking in a tire track in the snow .,14
1797507760_384744fb34.jpg,4,Topless men walking up a rocky path .,15
1797507760_384744fb34.jpg,3,The hikers are climbing up the mountains .,15
